i,alg,acc
17,BordaCount,0.7602523659305994
18,KNN,0.8422712933753943
18,NB,0.34069400630914826
18,MLP,0.8391167192429022
18,AD,0.8375394321766562
18,SVM,0.8422712933753943
18,Soma,0.8422712933753943
18,VotoMajoritÃ¡rio,0.8422712933753943
18,BordaCount,0.5236593059936908
19,KNN,0.8406940063091483
19,NB,0.1498422712933754
19,MLP,0.8249211356466877
19,AD,0.8154574132492114
19,SVM,0.8138801261829653
19,Soma,0.8375394321766562
19,VotoMajoritÃ¡rio,0.832807570977918
19,BordaCount,0.71293375394321770, KNN, 0.8422712933753943
0, NB, 0.0946372239747634
0, MLP, 0.8359621451104101
0, AD, 0.8170347003154574
0, SVM, 0.8422712933753943
0, Soma, 0.8343848580441641
0, Voto Majoritário, 0.8375394321766562
0, Borda Count, 0.7917981072555205

1, KNN, 0.8501577287066246
1, NB, 0.36908517350157727
1, MLP, 0.8406940063091483
1, AD, 0.8406940063091483
1, SVM, 0.8264984227129337
1, Soma, 0.8501577287066246
1, Voto Majoritário, 0.8470031545741324
1, Borda Count, 0.49369085173501576

2, KNN, 0.8391167192429022
2, NB, 0.11198738170347003
2, MLP, 0.8359621451104101
2, AD, 0.8391167192429022
2, SVM, 0.8359621451104101
2, Soma, 0.8438485804416404
2, Voto Majoritário, 0.8422712933753943
2, Borda Count, 0.7823343848580442

3, KNN, 0.8454258675078864
3, NB, 0.08990536277602523
3, MLP, 0.8170347003154574
3, AD, 0.8391167192429022
3, SVM, 0.8391167192429022
3, Soma, 0.8406940063091483
3, Voto Majoritário, 0.8454258675078864
3, Borda Count, 0.7839116719242902

4, KNN, 0.8406940063091483
4, NB, 0.15930599369085174
4, MLP, 0.8501577287066246
4, AD, 0.831230283911672
4, SVM, 0.8422712933753943
4, Soma, 0.8438485804416404
4, Voto Majoritário, 0.8438485804416404
4, Borda Count, 0.7350157728706624

5, KNN, 0.8438485804416404
5, NB, 0.08832807570977919
5, MLP, 0.8517350157728707
5, AD, 0.8422712933753943
5, SVM, 0.832807570977918
5, Soma, 0.8501577287066246
5, Voto Majoritário, 0.8517350157728707
5, Borda Count, 0.7728706624605678

6, KNN, 0.8406940063091483
6, NB, 0.1750788643533123
6, MLP, 0.8359621451104101
6, AD, 0.8406940063091483
6, SVM, 0.8422712933753943
6, Soma, 0.8391167192429022
6, Voto Majoritário, 0.8422712933753943
6, Borda Count, 0.6908517350157729

7, KNN, 0.8438485804416404
7, NB, 0.7712933753943217
7, MLP, 0.8470031545741324
7, AD, 0.8359621451104101
7, SVM, 0.7902208201892744
7, Soma, 0.8406940063091483
7, Voto Majoritário, 0.8470031545741324
7, Borda Count, 0.1861198738170347

8, KNN, 0.8438485804416404
8, NB, 0.08675078864353312
8, MLP, 0.8264984227129337
8, AD, 0.8343848580441641
8, SVM, 0.8422712933753943
8, Soma, 0.8422712933753943
8, Voto Majoritário, 0.8375394321766562
8, Borda Count, 0.7839116719242902

9, KNN, 0.8406940063091483
9, NB, 0.11356466876971609
9, MLP, 0.8470031545741324
9, AD, 0.8343848580441641
9, SVM, 0.8217665615141956
9, Soma, 0.8375394321766562
9, Voto Majoritário, 0.8406940063091483
9, Borda Count, 0.7460567823343849

10, KNN, 0.8438485804416404
10, NB, 0.12145110410094637
10, MLP, 0.8359621451104101
10, AD, 0.8422712933753943
10, SVM, 0.8422712933753943
10, Soma, 0.8485804416403786
10, Voto Majoritário, 0.8501577287066246
10, Borda Count, 0.7570977917981072

11, KNN, 0.8406940063091483
11, NB, 0.20504731861198738
11, MLP, 0.8249211356466877
11, AD, 0.8391167192429022
11, SVM, 0.8454258675078864
11, Soma, 0.8406940063091483
11, Voto Majoritário, 0.8470031545741324
11, Borda Count, 0.6656151419558359

12, KNN, 0.8406940063091483
12, NB, 0.22712933753943218
12, MLP, 0.832807570977918
12, AD, 0.8422712933753943
12, SVM, 0.8343848580441641
12, Soma, 0.831230283911672
12, Voto Majoritário, 0.8391167192429022
12, Borda Count, 0.6498422712933754

13, KNN, 0.8422712933753943
13, NB, 0.0804416403785489
13, MLP, 0.8375394321766562
13, AD, 0.8422712933753943
13, SVM, 0.8438485804416404
13, Soma, 0.8454258675078864
13, Voto Majoritário, 0.8454258675078864
13, Borda Count, 0.7996845425867508

14, KNN, 0.8438485804416404
14, NB, 0.10883280757097792
14, MLP, 0.8517350157728707
14, AD, 0.8438485804416404
14, SVM, 0.8343848580441641
14, Soma, 0.8501577287066246
14, Voto Majoritário, 0.8485804416403786
14, Borda Count, 0.7634069400630915

15, KNN, 0.8485804416403786
15, NB, 0.19085173501577288
15, MLP, 0.8501577287066246
15, AD, 0.8485804416403786
15, SVM, 0.8406940063091483
15, Soma, 0.8454258675078864
15, Voto Majoritário, 0.8470031545741324
15, Borda Count, 0.6908517350157729

16, KNN, 0.8438485804416404
16, NB, 0.3675078864353312
16, MLP, 0.8454258675078864
16, AD, 0.8264984227129337
16, SVM, 0.8422712933753943
16, Soma, 0.8470031545741324
16, Voto Majoritário, 0.8422712933753943
16, Borda Count, 0.49842271293375395

17, KNN, 0.8470031545741324
17, NB, 0.12145110410094637
17, MLP, 0.8375394321766562
17, AD, 0.8391167192429022
17, SVM, 0.8359621451104101
17, Soma, 0.8454258675078864
17, Voto Majoritário, 0.8454258675078864
17, Borda Count, 0.7618296529968455

18, KNN, 0.8422712933753943
18, NB, 0.34069400630914826
18, MLP, 0.8391167192429022
18, AD, 0.8422712933753943
18, SVM, 0.8422712933753943
18, Soma, 0.8422712933753943
18, Voto Majoritário, 0.8422712933753943
18, Borda Count, 0.5236593059936908

19, KNN, 0.8406940063091483
19, NB, 0.1498422712933754
19, MLP, 0.8280757097791798
19, AD, 0.8264984227129337
19, SVM, 0.8138801261829653
19, Soma, 0.832807570977918
19, Voto Majoritário, 0.8343848580441641
19, Borda Count, 0.7145110410094637

